0.9999999999999998 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.9999680003326329 + 0.0im,0.007999833685429454 + 0.0im,-1.2145919825456986e-9 - 1.9805013332041498e-19im
0.9998720053218796 + 0.0im,0.01599866958418234 + 0.0im,-1.651445641348559e-8 - 8.402056963446711e-19im
0.9997120269397266 + 0.0im,0.023995510425889228 + 0.0im,-8.084246649886495e-8 + 7.342933978047859e-20im
0.9994880851326061 + 0.0im,0.03198935997170716 + 0.0im,-2.5235215744823236e-7 + 2.2325153934621137e-19im
0.9992002078110875 + 0.0im,0.039979223527369614 + 0.0im,-6.12281047085439e-7 + 6.279819145697572e-20im
0.9988484308354781 + 0.0im,0.04796410845298123 + 0.0im,-1.2647737053228525e-6 + 1.0680605091375674e-18im
0.998432797997365 + 0.0im,0.05594302466846414 + 0.0im,-2.3366549575798423e-6 + 1.1876981354545798e-18im
0.9979533609971262 + 0.0im,0.06391498515364077 + 0.0im,-3.977153757273033e-6 + 3.007576322897086e-18im
0.997410179417479 + 0.0im,0.0718790064419661 + 0.0im,-6.357578369642347e-6 - 2.6453656455563726e-18im
0.9968033206930943 + 0.0im,0.07983410910690109 + 0.0im,-9.670943597606119e-6 + 3.0896541911820735e-18im
0.9961328600763592 + 0.0im,0.087779318239977 + 0.0im,-1.4131550918228264e-5 + 3.0806029192197875e-18im
0.9953988805993496 + 0.0im,0.09571366391963877 + 0.0im,-1.9974522480703527e-5 + 2.502492989572808e-18im
0.99460147303209 + 0.0im,0.10363618166999793 + 0.0im,-2.7455290047107006e-5 + 1.048597871087474e-18im
0.9937407358371847 + 0.0im,0.11154591290867291 + 0.0im,-3.68490400215471e-5 + 1.0127285266389443e-18im
0.992816775120932 + 0.0im,0.11944190538294705 + 0.0im,-4.84501158557471e-5 + 3.913349812253244e-19im
0.9918297045809591 + 0.0im,0.12732321359351992 + 0.0im,-6.257137917081712e-5 + 6.685021305257947e-18im
0.9907796454505585 + 0.0im,0.1351888992051988 + 0.0im,-7.954353105027456e-5 - 6.758286791156537e-18im
0.9896667264397717 + 0.0im,0.14303803144391958 + 0.0im,-9.971439503914103e-5 - 1.997230004532023e-18im
0.9884910836733544 + 0.0im,0.15086968747955914 + 0.0im,-0.00012344816347303889 + 1.968383141159278e-18im
0.9872528606257426 + 0.0im,0.15868295279407615 + 0.0im,-0.0001511246088120033 + 1.6678797644486895e-18im
0.985952208053134 + 0.0im,0.16647692153454557 + 0.0im,-0.0001831382617801247 - 3.2002322706133755e-18im
0.9845892839228015 + 0.0im,0.1742506968507306 + 0.0im,-0.0002198975581030882 + 3.1892253496809928e-18im
0.9831642533397754 + 0.0im,0.1820033912169313 + 0.0im,-0.00026182395577950546 + 4.0702081110272845e-18im
0.9816772884710088 + 0.0im,0.18973412673788698 + 0.0im,-0.0003093510248301512 + 4.8211689925555835e-18im
0.9801285684671647 + 0.0im,0.19744203543858393 + 0.0im,-0.0003629235115309992 + 5.643532563434169e-18im
0.978518279382145 + 0.0im,0.20512625953788657 + 0.0im,-0.0004229963791969604 - 1.9522063007040084e-18im
