0.0 + 0.0im,0.0 + 0.0im,-1.0 + 0.0im
8.652145028423353e-19 + 0.0im,-3.577264758993879e-21 + 0.0im,-0.9999696343375256 + 2.844463277593899e-19im
-3.4602492238358813e-18 + 0.0im,-2.4833421724047178e-20 + 0.0im,-0.9998785772972765 - 1.029047858707455e-19im
-7.784101107766584e-18 + 0.0im,9.999482540970583e-20 + 0.0im,-0.9997269486447272 - 3.601334544636877e-19im
-6.922146174278379e-18 + 0.0im,7.165624796999973e-19 + 0.0im,-0.9995149477357237 + 2.6486583257929095e-18im
4.306282902517994e-18 + 0.0im,1.2458212570548042e-18 + 0.0im,-0.9992428531372666 + 1.3963300352479403e-17im
2.070435645353047e-17 + 0.0im,1.5143605953546012e-18 + 0.0im,-0.9989110220979319 - 4.217119171899027e-18im
6.038556684248541e-17 + 0.0im,1.643504069024802e-18 + 0.0im,-0.9985198898693417 - 6.459302766251002e-20im
1.1726193391784633e-16 + 0.0im,1.7312406538202525e-18 + 0.0im,-0.9980699688803448 - 3.803979902018716e-20im
1.318839611125213e-16 + 0.0im,-1.9513652781339915e-18 + 0.0im,-0.9975618477660807 - 2.434392248360889e-19im
1.2067889898346982e-16 + 0.0im,-6.2558406809416095e-18 + 0.0im,-0.9969961902543228 - 2.906268600883781e-18im
1.6109040085797254e-16 + 0.0im,-1.2298759850048527e-17 + 0.0im,-0.9963737339119831 - 2.022952506417647e-18im
1.3445690886212406e-16 + 1.5407439555097887e-33im,-1.961462245407987e-17 + 0.0im,-0.9956952887548964 - 8.260442658554267e-19im
1.4571225340659679e-16 + 0.0im,-2.6507332306979536e-17 + 0.0im,-0.9949617357244075 + 1.0138310041492742e-17im
1.4494205555493578e-16 + 0.0im,-2.999611777147391e-17 + 0.0im,-0.9941740250345962 - 1.305101811110615e-17im
1.6815488166749824e-16 + 3.0814879110195774e-33im,-4.1003616978248485e-17 + 0.0im,-0.9933331743942622 - 4.7219366035292125e-18im
1.7938955851809237e-16 + 3.0814879110195774e-33im,-4.881068179241383e-17 + 0.0im,-0.992440267108081 - 1.6548865443811192e-17im
1.0372961952377114e-16 + 0.0im,-5.852966575271972e-17 + 0.0im,-0.9914964500616883 - 4.035140541219471e-18im
