0.0 + 0.0im,0.0 + 0.0im,1.0 + 0.0im
-3.853344419050318e-30 + 0.0im,1.0509618008149268e-27 + 0.0im,0.9999696319083431 - 1.7950606050019373e-24im
-2.640576804626178e-29 + 0.0im,-2.0254763602436824e-27 + 0.0im,0.9998785442683683 + 3.110880986785128e-24im
-2.717426945943944e-29 + 0.0im,-2.168436577746894e-26 + 0.0im,0.9997267869597969 - 5.58475550404142e-24im
2.7744199392169616e-28 + 0.0im,-7.879131937215843e-26 + 0.0im,0.9995144430314141 + 2.9652555803010576e-23im
4.106105761850239e-26 + 0.0im,-1.6688882561755133e-25 + 0.0im,0.9992416285751818 - 3.0247661893016608e-21im
-1.1979027424948822e-25 + 0.0im,-2.0923378291236166e-25 + 0.0im,0.9989084925505586 + 6.893472032778627e-21im
-4.0227349912163054e-25 + 0.0im,-9.455428716129976e-26 + 0.0im,0.9985152165595408 + 5.436116110287324e-21im
-2.7576395062431235e-25 + 0.0im,4.530102799917078e-25 + 0.0im,0.9980620145731093 + 9.332884263350056e-21im
-6.203225294158974e-25 + 0.0im,-3.005346634112739e-25 + 0.0im,0.9975491326099237 + 2.1584240728367984e-20im
1.7210838714904883e-24 + 0.0im,-3.0174973678376376e-24 + 0.0im,0.9969768483682142 + 4.2849534191554285e-20im
1.6778669110705136e-24 + 0.0im,-5.6655869542323126e-24 + 0.0im,0.9963454708120091 - 1.717139520447362e-20im
2.0512902751796893e-24 + 0.0im,-1.6674056721001757e-23 + 0.0im,0.995655339712927 + 1.553114768246014e-20im
1.33083053218809e-23 + 0.0im,8.971455791585528e-24 + 0.0im,0.9949068251488872 + 1.0265391508286617e-19im
6.838227355078247e-24 + 0.0im,3.8991003080391305e-23 + 0.0im,0.9941003269612735 - 2.887633925427984e-20im
-1.9793115903825235e-23 + 0.0im,8.467106388277258e-23 + 0.0im,0.993236274172107 + 4.819009060165421e-20im
-2.8633050694575423e-23 + 0.0im,8.823647859013674e-23 + 0.0im,0.9923151243629703 - 1.0393317039971209e-20im
-2.456883934970907e-23 + 0.0im,9.030527941859903e-23 + 0.0im,0.9913373630174926 + 3.8869621643135153e-20im
-3.347418718523626e-24 + 0.0im,6.1856445781490856e-24 + 0.0im,0.9903035028292949 - 8.148090554536275e-21im
