0.0 + 0.0im,0.9999999999999998 + 0.0im,0.0 + 0.0im
-0.007999833685429563 + 0.0im,0.9999376334555973 + 0.0im,-1.21459159396764e-9 - 3.463731531429979e-19im
-0.01599866958419239 + 0.0im,0.9997505661060645 + 0.0im,-1.651445596939638e-8 - 3.2920890476783983e-19im
-0.023995510426050054 + 0.0im,0.9994388947563617 + 0.0im,-8.08424664433538e-8 - 2.3576198477943597e-19im
-0.03198935997288411 + 0.0im,0.9990027805946938 + 0.0im,-2.5235215633800934e-7 + 8.076871808612294e-19im
-0.03997922353291677 + 0.0im,0.9984424489628395 + 0.0im,-6.122810424225023e-7 + 8.510306463370534e-19im
-0.04796410847272914 + 0.0im,0.997758189035429 + 0.0im,-1.264773686782128e-6 - 9.073960514730821e-19im
-0.05594302472635241 + 0.0im,0.9969503534090088 + 0.0im,-2.3366548991821112e-6 + 1.1165541693042353e-18im
-0.06391498530071348 + 0.0im,0.996019357601944 + 0.0im,-3.977153615886131e-6 + 1.6945763074335787e-18im
-0.0718790067767282 + 0.0im,0.9949656794664513 + 0.0im,-6.357578076321424e-6 - 8.938728856259565e-20im
-0.07983410980534299 + 0.0im,0.9937898585142354 + 0.0im,-9.670943054096437e-6 + 8.841625908427758e-19im
-0.08777931959784158 + 0.0im,0.9924924951574651 + 0.0im,-1.4131549987805858e-5 - 8.393707752390487e-19im
-0.09571366640974835 + 0.0im,0.9910742498670205 + 0.0im,-1.997452098512209e-5 + 2.7492209736707883e-18im
-0.10363618601767177 + 0.0im,0.9895358422500975 + 0.0im,-2.745528775882633e-5 - 1.7141856433300544e-18im
-0.11154592018845486 + 0.0im,0.9878780500495159 + 0.0im,-3.68490366599028e-5 + 8.241886475587246e-19im
-0.11944191714001275 + 0.0im,0.9861017080671884 + 0.0im,-4.845011107479369e-5 + 1.7736956578078673e-18im
-0.12732323199326664 + 0.0im,0.9842077070144661 + 0.0im,-6.257137255333278e-5 - 6.6532443621630875e-18im
-0.13518892721459294 + 0.0im,0.9821969922921118 + 0.0im,-7.954352209582627e-5 - 4.359432501000466e-18im
-0.14303807304824465 + 0.0im,0.980070562702957 + 0.0im,-9.971438316830339e-5 + 5.22577929054245e-19im
-0.1508697479382106 + 0.0im,0.9778294691002714 + 0.0im,-0.00012344814801557025 - 2.3677203563955587e-18im
-0.158683038939017 + 0.0im,0.9754748129751466 + 0.0im,-0.0001511245890109536 + 3.888245543461332e-18im
-0.1664770421149953 + 0.0im,0.9730077449862126 + 0.0im,-0.00018313823677751362 - 1.3462533707638236e-18im
-0.174250862927566 + 0.0im,0.9704294634351368 + 0.0im,-0.00021989752694229203 + 6.354743404434693e-18im
-0.18200361661012307 + 0.0im,0.9677412126914553 + 0.0im,-0.00026182391740675603 + 1.0893027007695918e-18im
-0.18973442853012512 + 0.0im,0.9649442815703437 + 0.0im,-0.00030935097809009493 - 5.845953364556732e-18im
-0.1974424345380332 + 0.0im,0.962040001666995 + 0.0im,-0.0003629234551670857 - 6.335010500613013e-18im
-0.2051267813027585 + 0.0im,0.9590297456513226 + 0.0im,-0.0004229963118536073 - 2.382637979264118e-18im
