0.0 + 0.0im,0.0 + 0.0im,1.0 + 0.0im
1.7190104127838996e-29 + 0.0im,-4.688147191027892e-27 + 0.0im,0.9999030533074085 - 6.147122640755878e-26im
-1.357068339665564e-27 + 0.0im,9.10215928843497e-27 + 0.0im,0.9996122984621116 - 7.298011613216553e-22im
-3.805987337026568e-26 + 0.0im,9.668926107864579e-26 + 0.0im,0.9991279909871956 - 9.520630662758548e-22im
8.960634696386416e-26 + 0.0im,2.6723622319562136e-25 + 0.0im,0.998450556173915 - 9.949210156902832e-22im
7.0549017856207e-25 + 0.0im,7.522287644484465e-25 + 0.0im,0.9975805882129891 + 3.5725278338023404e-20im
7.767339807713692e-25 + 0.0im,-1.3660370689350017e-24 + 0.0im,0.996518848982681 - 4.8513998369229965e-20im
8.927534163098307e-25 + 0.0im,3.1053259742732628e-24 + 0.0im,0.9952662664978615 + 4.8714536221611844e-20im
5.835249294635445e-24 + 0.0im,1.2400348215270639e-23 + 0.0im,0.9938239330254707 - 4.281116522417369e-21im
-9.192695473813376e-24 + 0.0im,4.093331841136348e-23 + 0.0im,0.9921931028729102 + 3.9865034102246e-20im
-1.0731140438161368e-24 + 0.0im,6.184009203397627e-23 + 0.0im,0.9903751898570174 + 3.750188316034871e-22im
-3.4395750191413453e-23 + 0.0im,4.352685333686542e-22 + 0.0im,0.9883717644623099 + 1.7389509682508528e-20im
1.7072092041612106e-22 + 0.0im,1.1226336697927412e-21 + 0.0im,0.9861845506982928 + 1.2966578252330082e-20im
3.008199427784865e-22 + 0.0im,3.6913498326262364e-22 + 0.0im,0.9838154226665168 + 1.9241286545756438e-19im
3.018490321298088e-22 + 0.0im,5.508161064848797e-23 + 0.0im,0.9812664008490396 - 1.0420691962268546e-19im
-4.419186333648483e-22 + 0.0im,1.041081510318102e-20 + 0.0im,0.9785396481308367 - 2.8418213815853565e-21im
-1.9284949959745383e-21 + 0.0im,8.726354820625218e-21 + 0.0im,0.9756374655694338 + 3.1360615156861805e-20im
-1.879822567247898e-21 + 0.0im,1.1064042427405927e-20 + 0.0im,0.9725622879258715 + 1.4303326280661505e-19im
-1.2275553430771117e-21 + 0.0im,1.1711415023828848e-20 + 0.0im,0.9693166789717073 + 3.979550416989472e-20im
1.6976889586821793e-21 + 0.0im,1.1928430077398665e-20 + 0.0im,0.9659033265874208 + 2.7330733164541797e-20im
-4.076823094014835e-21 + 0.0im,7.62636170587468e-21 + 0.0im,0.9623250376680641 + 2.834816923279875e-19im
1.2816208459095153e-21 + 0.0im,1.8380744022256897e-20 + 0.0im,0.9585847328525212 - 7.454446995425142e-20im
3.278127724956551e-22 + 0.0im,1.5135523244495554e-20 + 0.0im,0.9546854410930429 + 4.634412531747265e-20im
1.5283677005079457e-21 + 0.0im,1.928156307346046e-20 + 0.0im,0.9506302940821255 - 8.2675490510467e-20im
3.610672955904516e-21 + 0.0im,2.1752206609320095e-21 + 0.0im,0.9464225205539127 + 2.3648262705701766e-19im
6.482003191558638e-21 + 0.0im,1.1478887795298718e-20 + 0.0im,0.9420654404775783 + 3.577188413529599e-19im
1.0868302346194067e-20 + 0.0im,4.0487653496273917e-20 + 0.0im,0.9375624591601214 + 6.901488987660604e-19im
1.303208477510256e-20 + 0.0im,5.447734519636598e-20 + 0.0im,0.9329170612760513 + 3.6784444683741494e-19im
2.893453080315392e-21 + 0.0im,1.710472415417224e-19 + 0.0im,0.9281328048414184 + 2.712554019632434e-20im
-8.991293022284343e-21 + 0.0im,2.989927479580303e-19 + 0.0im,0.9232133151493592 + 8.9302961362894e-20im
-3.1387755349662495e-21 + 0.0im,2.459457297337534e-19 + 0.0im,0.9181622786843144 - 5.412330963326074e-20im
-3.4701407111678254e-20 + 0.0im,5.580079405516914e-19 + 0.0im,0.9129834370316262 - 5.3677292447176737e-20im
-2.673717050729847e-20 + 0.0im,4.911735437909789e-19 + 0.0im,0.9076805807989657 - 2.5249730528983508e-20im
