0.9999999999999998 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
0.9999680010759657 + 0.0im,0.007999462030683647 + 0.0im,-8.486782221428513e-9 + 3.3354125420508087e-19im
0.9998720172127493 + 0.0im,0.015995697376784475 + 0.0im,-1.1537344318801601e-7 - 7.922682441138409e-19im
0.9997120871140264 + 0.0im,0.023985485094845424 + 0.0im,-5.646305495932147e-7 - 3.260343644422504e-20im
0.9994882752094857 + 0.0im,0.03196561568454863 + 0.0im,-1.7618492531568108e-6 + 1.3597340606700357e-18im
0.9992006715407199 + 0.0im,0.039932896712887786 + 0.0im,-4.2727066105752165e-6 - 9.852369174646409e-19im
0.9988493916025449 + 0.0im,0.04788415832249461 + 0.0im,-8.82082703351772e-6 + 1.4404596873197606e-18im
0.9984345761408663 + 0.0im,0.055816258587184545 + 0.0im,-1.6285049753705927e-5 + 8.479417824778799e-19im
0.997956390908394 + 0.0im,0.06372608867941369 + 0.0im,-2.7696114866804233e-5 - 2.718920113309311e-18im
0.9974150263799135 + 0.0im,0.07161057781616599 + 0.0im,-4.423278313903101e-5 - 2.2922493360550218e-18im
0.9968106974289509 + 0.0im,0.07946669795181535 + 0.0im,-6.721740717147151e-5 + 1.7106642723462106e-18im
0.9961436429680276 + 0.0im,0.08729146818900768 + 0.0im,-9.811097386824841e-5 - 6.980517411478296e-19im
0.9954141255548167 + 0.0im,0.09508195888132073 + 0.0im,-0.00013850764028155993 + 1.3619001007474093e-19im
0.994622430966824 + 0.0im,0.1028352954044264 + 0.0im,-0.0001901287869192081 + 6.095376205782769e-19im
0.9937688677472557 + 0.0im,0.110548661575647 + 0.0im,-0.00025481661437321 + 2.654188323963786e-18im
0.9928537667250131 + 0.0im,0.11821930270519229 + 0.0im,-0.00033452731076089037 + 2.3385088834813683e-18im
0.9918774805117906 + 0.0im,0.12584452826579287 + 0.0im,-0.00043132381887278637 + 1.6328400770860968e-18im
0.9908403829793795 + 0.0im,0.13342171417106297 + 0.0im,-0.0005473682330841001 - 4.753625321902782e-18im
0.9897428687203205 + 0.0im,0.14094830465667485 + 0.0im,-0.000684913857175562 - 2.2497888957414994e-18im
0.988585352495123 + 0.0im,0.1484218137620992 + 0.0im,-0.0008462969548991839 - 1.734849450605478e-18im
0.9873682686691861 + 0.0im,0.15583982641438404 + 0.0im,-0.001033928225804559 - 2.1137638850095814e-18im
0.9860920706426901 + 0.0im,0.16319999911915045 + 0.0im,-0.001250284039197358 - 1.78985690945813e-19im
0.9847572302764342 + 0.0im,0.1705000602675636 + 0.0im,-0.0014978974593401473 + 4.227218427045787e-18im
0.9833642373167563 + 0.0im,0.1777378100715769 + 0.0im,-0.0017793490950197 + 5.73359038968494e-18im
0.981913598822405 + 0.0im,0.18491112014309188 + 0.0im,-0.002097257806516206 + 2.282546658672729e-18im
0.9804058385961261 + 0.0im,0.19201793273588103 + 0.0im,-0.0024542713026974305 - 1.9584564912050738e-18im
0.978841496623598 + 0.0im,0.19905625967212529 + 0.0im,-0.0028530566605792784 + 6.313798651677015e-19im
0.9772211285221505 + 0.0im,0.20602418097819164 + 0.0im,-0.003296290799129298 - 2.5243408494353465e-18im
0.975545305001451 + 0.0im,0.21291984325680158 + 0.0im,-0.0037866509384748004 + 5.451319483017388e-18im
0.9738146113381881 + 0.0im,0.21974145782500012 + 0.0im,-0.004326805074943152 - 2.884146024517333e-18im
0.9720296468664688 + 0.0im,0.22648729864931766 + 0.0im,-0.004919402501537162 - 5.903840222631915e-18im
0.9701910244854628 + 0.0im,0.23315570011119177 + 0.0im,-0.005567064402604405 + 3.330242086798297e-18im
0.9682993701854664 + 0.0im,0.23974505463704085 + 0.0im,-0.006272374550548854 - 3.721418528577993e-18im
0.9663553225933585 + 0.0im,0.24625381022844225 + 0.0im,-0.00703787013148599 + 3.876173921424683e-18im
0.964359532538108 + 0.0im,0.2526804679285615 + 0.0im,-0.007866032725812544 - 1.1236021280357652e-18im
0.9623126626366596 + 0.0im,0.2590235792613351 + 0.0im,-0.008759279468665004 + 6.375338943764371e-19im
0.9602153869003249 + 0.0im,0.2652817436799601 + 0.0im,-0.009719954414341703 - 3.1412693661242788e-18im
0.9580683903614094 + 0.0im,0.27145360606093477 + 0.0im,-0.010750320127750623 + 1.1470933111963526e-17im
0.9558723687195967 + 0.0im,0.27753785427927036 + 0.0im,-0.011852549525113887 + 1.0553724481548877e-17im
0.9536280280072778 + 0.0im,0.2835332168995555 + 0.0im,-0.013028717985181792 + 7.504883388275259e-18im
0.9513360842727958 + 0.0im,0.28943846101629817 + 0.0im,-0.014280795751402675 + 4.051581421089067e-18im
0.948997263280265 + 0.0im,0.2952523902754278 + 0.0im,-0.015610640644625251 - 6.478986336184664e-19im
0.9466123002243747 + 0.0im,0.30097384310699876 + 0.0im,-0.017019991105109766 + 1.3849714753177827e-17im
0.9441819394584192 + 0.0im,0.30660169119706593 + 0.0im,-0.018510459581851435 - 1.2896657491002504e-17im
0.9417069342334876 + 0.0im,0.31213483822434174 + 0.0im,-0.02008352628643706 - 8.687334202540307e-18im
0.9391880464466382 + 0.0im,0.3175722188847 + 0.0im,-0.021740533327929135 - 2.8118710853957302e-18im
0.9366260463956633 + 0.0im,0.3229127982238223 + 0.0im,-0.023482679244539173 - 1.2472009200854192e-17im
