0.0 + 0.0im,0.0 + 0.0im,-1.0 + 0.0im
3.5923733775526102e-22 + 0.0im,-8.654843982750379e-20 + 0.0im,-0.9998302833505776 + 1.8873077707175686e-19im
8.182824664412067e-18 + 4.81482486096809e-35im,-4.407112518694524e-19 + 0.0im,-0.9993215613188305 - 1.477945350953383e-18im
-1.8382269262690034e-17 - 9.62964972193618e-35im,-1.2914706304618305e-18 + 0.0im,-0.9984751159531668 + 5.38456838689576e-18im
-4.899606430147807e-17 + 0.0im,-7.7347728049032255e-19 + 0.0im,-0.9972930783408115 - 8.264472511814218e-19im
-8.159620665004273e-17 + 0.0im,7.32966835618213e-19 + 0.0im,-0.9957784201539904 + 6.105635368626072e-19im
-1.1005308059253185e-16 + 0.0im,3.717435377694073e-18 + 0.0im,-0.9939349418869402 + 2.2145996243124824e-18im
-1.8525825542822591e-16 + 0.0im,7.316003929798308e-18 + 0.0im,-0.9917672578553394 - 2.1546173582066226e-18im
-1.7894038196708157e-16 + 7.703719777548943e-34im,1.3237720307219147e-17 + 0.0im,-0.9892807780490092 + 2.6627808952351544e-18im
-2.375568242190897e-16 - 1.5407439555097887e-33im,1.8444795172318317e-17 + 0.0im,-0.9864816869472783 + 6.769569865540736e-19im
-1.8257729049227738e-16 + 0.0im,2.936545303233954e-17 + 0.0im,-0.9833769194238724 + 8.98975464865673e-20im
-2.671987226362124e-16 + 0.0im,3.21038524301322e-17 + 0.0im,-0.9799741338845596 - 1.0832733320965347e-18im
-2.9098014708372167e-16 + 3.0814879110195774e-33im,4.098457892912521e-17 + 0.0im,-0.9762816827958489 - 7.768507247263013e-18im
-3.6692605016314965e-16 + 0.0im,4.979373682648441e-17 + 0.0im,-0.9723085807767832 + 9.024320254361779e-18im
-4.22477411401486e-16 + 0.0im,7.271883710030956e-17 + 0.0im,-0.9680644704379745 + 8.934011076983972e-18im
-5.417112534443982e-16 + 6.162975822039155e-33im,8.786103511137385e-17 + 0.0im,-0.9635595861627448 + 6.81520007555915e-18im
-5.446678766184427e-16 + 0.0im,1.1178881998345453e-16 + 0.0im,-0.9588047160341451 + 3.5222938069768714e-18im
-4.761756284599212e-16 + 0.0im,1.464460228573019e-16 + 0.0im,-0.9538111621189163 + 2.339128266839317e-17im
-6.099966170497703e-16 + 0.0im,1.6708347160555816e-16 + 0.0im,-0.9485906993251114 + 1.2363855859767632e-17im
-7.173323177294664e-16 + 0.0im,1.7585880726032165e-16 + 0.0im,-0.9431555330538294 + 9.588847532121982e-19im
-8.709122050721678e-16 + 0.0im,1.8869288315403074e-16 + 0.0im,-0.9375182558677931 + 1.756526718002135e-18im
-1.1173021245263946e-15 + 0.0im,1.9953462960167897e-16 + 0.0im,-0.931691803399882 + 1.3641288969239139e-17im
-1.2100905223424085e-15 + 0.0im,2.556869495507403e-16 + 0.0im,-0.9256894097236585 - 9.946465861500289e-18im
-1.2614060289216086e-15 + 0.0im,2.7053483191982283e-16 + 0.0im,-0.9195245624051641 + 5.541023827995171e-18im
-1.3585742315212594e-15 + 0.0im,3.0867905801780824e-16 + 0.0im,-0.9132109574511429 + 9.555952320779803e-18im
-1.4587172401519045e-15 + 0.0im,3.3673513204294796e-16 + 0.0im,-0.9067624543631848 + 1.3720666412887218e-17im
-1.7107568135926861e-15 + 0.0im,3.3034615134050245e-16 + 0.0im,-0.9001930315005183 - 1.6940384018688813e-18im
-1.8728996274073497e-15 + 0.0im,3.34940967512454e-16 + 0.0im,-0.893516741946083 + 7.285407805036077e-18im
-1.9880238020286237e-15 + 0.0im,3.7166255696360805e-16 + 0.0im,-0.8867476700614546 - 9.430883646094527e-18im
-2.4456555657799456e-15 + 4.930380657631324e-32im,4.248110424547529e-16 + 0.0im,-0.8798998889061743 + 1.3436778562790306e-17im
-2.6707408621806237e-15 + 0.0im,4.707568162416462e-16 + 0.0im,-0.8729874186862984 + 4.404794046909946e-18im
-2.901400387277631e-15 + 0.0im,6.206831741736736e-16 + 0.0im,-0.8660241863854377 + 9.676387674596977e-18im
-2.832345883431062e-15 + 0.0im,6.999723639662968e-16 + 0.0im,-0.8590239867196539 - 7.713552339001105e-18im
-2.9332108118394166e-15 + 0.0im,7.823809409581851e-16 + 0.0im,-0.8520004445451447 - 5.590561713831843e-18im
-2.9662015854726528e-15 + 0.0im,9.099853881081755e-16 + 0.0im,-0.844966978835058 - 2.4703366888788645e-18im
-3.007679465123489e-15 + 0.0im,9.188565493787649e-16 + 0.0im,-0.8379367683289675 - 2.522941738520262e-18im
-3.2427468010302325e-15 + 0.0im,1.060135684238182e-15 + 0.0im,-0.8309227189456994 - 1.3159986871609183e-17im
-3.6493255479199494e-15 - 9.860761315262648e-32im,1.4831344928275028e-15 + 0.0im,-0.8239374330375862 - 2.3453763087845697e-17im
-3.9098665276217504e-15 + 0.0im,1.6316532589233916e-15 + 0.0im,-0.8169931805515394 - 3.668565169603048e-18im
-3.6926190891794945e-15 - 9.860761315262648e-32im,1.5424530303885975e-15 + 0.0im,-0.8101018721502045 + 6.677535331385581e-18im
-3.745161191442175e-15 + 0.0im,1.5368270457148024e-15 + 0.0im,-0.8032750343345223 - 4.363876931320555e-19im
-4.030744689622715e-15 + 0.0im,1.906509751096431e-15 + 0.0im,-0.7965237865975676 + 8.061805070850393e-19im
-4.031015997603022e-15 + 0.0im,2.0354116042590014e-15 + 0.0im,-0.7898588206286006 + 8.785409395991531e-18im
-3.965103254170686e-15 + 0.0im,2.0519000080057932e-15 + 0.0im,-0.7832903815758746 + 1.0311652580074743e-18im
-3.991580765704651e-15 + 0.0im,1.955591167085048e-15 + 0.0im,-0.7768282513669424 + 1.1537604463655096e-18im
-4.036336319724069e-15 + 0.0im,2.0185593455834024e-15 + 0.0im,-0.7704817340760043 - 2.1534258313381007e-17im
-3.9587712105551435e-15 + 0.0im,2.1781340518372182e-15 + 0.0im,-0.7642596433193719 + 6.765025304473161e-18im
