0.0 + 0.0im,0.0 + 0.0im,1.0 + 0.0im
-5.783857821655427e-43 + 0.0im,2.7284717267896232e-40 + 0.0im,0.9994668629998211 + 0.0im
-1.5851352400342822e-29 + 0.0im,4.211380851979975e-27 + 0.0im,0.997869445816968 + 0.0im
-4.2262115554562417e-26 + 0.0im,-1.5919538216819664e-25 + 0.0im,0.995213713471821 + 0.0im
-5.270609018875987e-26 + 0.0im,3.438845274653259e-24 + 0.0im,0.9915095531021518 + 0.0im
-7.276099241654325e-25 + 0.0im,4.000708097730823e-23 + 0.0im,0.9867706928595502 + 0.0im
-1.8529788220789937e-24 + 0.0im,6.736866575103944e-23 + 0.0im,0.9810145898323054 + 0.0im
2.283495186857137e-24 + 0.0im,5.817901963496865e-23 + 0.0im,0.9742622884313571 + 0.0im
-1.2170184154739925e-23 + 0.0im,5.779017175609766e-23 + 0.0im,0.9665382510425573 + 0.0im
-8.253203840432061e-23 + 0.0im,-6.91172992729402e-22 + 0.0im,0.9578701630835936 + 0.0im
-2.0431597557593265e-22 + 0.0im,-9.77361216153544e-23 + 0.0im,0.9482887149021262 + 0.0im
-1.1569434884218027e-22 + 0.0im,-1.3690077828725345e-21 + 0.0im,0.9378273632082555 + 0.0im
-3.551699062758977e-23 + 0.0im,-3.8250595042553825e-21 + 0.0im,0.9265220749457681 + 0.0im
1.0519731952601963e-23 + 0.0im,1.1739334522613634e-21 + 0.0im,0.9144110566698554 + 0.0im
4.310619079392692e-22 + 0.0im,-2.6852236335352288e-20 + 0.0im,0.9015344726125497 + 0.0im
7.342343958464892e-22 + 0.0im,-3.813352171588604e-20 + 0.0im,0.8879341546804624 + 0.0im
1.069457104110772e-21 + 0.0im,-4.533943874128233e-20 + 0.0im,0.8736533076425813 + 0.0im
1.718064211275595e-21 + 0.0im,-5.1827566695945967e-20 + 0.0im,0.8587362127307435 + 0.0im
7.521625806040416e-21 + 0.0im,-5.15333115561283e-20 + 0.0im,0.843227932793749 + 0.0im
6.6331417792121484e-21 + 0.0im,-8.832205204275661e-20 + 0.0im,0.8271740220213863 + 0.0im
6.290702877675951e-21 + 0.0im,-1.7697423478977248e-19 + 0.0im,0.8106202430904794 + 0.0im
1.5230391255802692e-20 + 0.0im,-2.3434882005161877e-19 + 0.0im,0.7936122943860023 + 0.0im
2.2894602222994504e-20 + 0.0im,-1.512248263050907e-19 + 0.0im,0.7761955497212061 + 0.0im
4.069199579880501e-20 + 0.0im,-3.505483505128831e-19 + 0.0im,0.7584148127266359 + 0.0im
-5.872901396496066e-20 + 0.0im,-6.162155831215693e-19 + 0.0im,0.7403140878046083 + 0.0im
-9.291607932857403e-20 + 0.0im,-6.655472180401747e-19 + 0.0im,0.7219363692582941 + 0.0im
-1.3373942773754423e-19 + 0.0im,-6.217640506127259e-19 + 0.0im,0.703323449908733 + 0.0im
-7.199401226975768e-20 + 0.0im,-6.367745122604936e-19 + 0.0im,0.6845157502139474 + 0.0im
-9.913560413876497e-20 + 0.0im,-6.387251290023495e-19 + 0.0im,0.6655521686069625 + 0.0im
-2.744114075641404e-19 + 0.0im,-8.710709647871588e-19 + 0.0im,0.64646995347846 + 0.0im
-2.368823583961117e-19 + 0.0im,-7.056026130974812e-19 + 0.0im,0.6273045969492002 + 0.0im
-1.2614739094905945e-19 + 0.0im,-4.226641402239917e-19 + 0.0im,0.6080897503109977 + 0.0im
9.119628302228452e-21 + 0.0im,-1.3278897214173362e-18 + 0.0im,0.5888571607659745 + 0.0im
1.1784915244381173e-19 + 0.0im,-1.8168081669898568e-18 + 0.0im,0.5696366288646344 + 0.0im
-9.03036372450683e-20 + 0.0im,-4.828537635842836e-19 + 0.0im,0.5504559858361814 + 0.0im
-1.1553332741797134e-19 + 0.0im,-2.9406963041767824e-19 + 0.0im,0.5313410898207243 + 0.0im
1.2338370859777067e-19 + 0.0im,-4.289685487884014e-19 + 0.0im,0.5123158398535677 + 0.0im
1.2545754851182114e-19 + 0.0im,-4.874042803477067e-19 + 0.0im,0.49340220631725473 + 0.0im
3.4056034570906176e-19 + 0.0im,-1.3281775566856243e-18 + 0.0im,0.47462027646720995 + 0.0im
4.309999031867553e-20 + 0.0im,3.3988902819038543e-19 + 0.0im,0.45598831355144454 + 0.0im
-2.3137020122104266e-19 + 0.0im,6.45445705132071e-19 + 0.0im,0.4375228279829251 + 0.0im
6.355288988629404e-19 + 0.0im,-3.7375854953943675e-18 + 0.0im,0.419238658983962 + 0.0im
2.0722793026362692e-19 + 0.0im,-9.293557394925242e-19 + 0.0im,0.4011490651038315 + 0.0im
4.814621834058626e-19 + 0.0im,-3.347800100410138e-18 + 0.0im,0.3832658220124236 + 0.0im
3.174779982884057e-20 + 0.0im,2.1819780189067017e-18 + 0.0im,0.365599325992368 + 0.0im
2.4469429061603087e-19 + 0.0im,5.846691174871509e-19 + 0.0im,0.3481587015880281 + 0.0im
4.0232568584978883e-19 + 0.0im,9.166842600751049e-19 + 0.0im,0.3309519119202869 + 0.0im
