0.0 + 0.0im,0.9999999999999998 + 0.0im,0.0 + 0.0im
-0.007999462030689374 + 0.0im,0.9997982759399933 + 0.0im,-8.486781277738942e-9 + 8.158298912185356e-20im
-0.015995697377279232 + 0.0im,0.9991934631686786 + 0.0im,-1.1537344185574838e-7 + 5.951090466166283e-19im
-0.023985485102762945 + 0.0im,0.9981866385484943 + 0.0im,-5.646305476503244e-7 + 3.327512280157739e-19im
-0.031965615742523344 + 0.0im,0.9967795923134778 + 0.0im,-1.761849248826941e-6 - 1.662474294948931e-18im
-0.03993289698617932 + 0.0im,0.994974821295322 + 0.0im,-4.272706594254938e-6 - 1.6026611493297625e-18im
-0.04788415929461237 + 0.0im,0.9927755195017547 + 0.0im,-8.820826976729812e-6 - 1.1086141013862749e-18im
-0.05581626143122215 + 0.0im,0.9901855661083496 + 0.0im,-1.6285049586339806e-5 + 1.1104408796211922e-18im
-0.06372609588702088 + 0.0im,0.9872095109415079 + 0.0im,-2.76961144654031e-5 + 2.833525971737842e-18im
-0.07161059417985399 + 0.0im,0.9838525575458841 + 0.0im,-4.423278230841765e-5 + 8.497986335005494e-19im
-0.07946673200884921 + 0.0im,0.9801205439445784 + 0.0im,-6.721740562759537e-5 + 1.7917574875171327e-18im
-0.08729153424611111 + 0.0im,0.9760199212141044 + 0.0im,-9.811097121653622e-5 - 1.751015063597208e-18im
-0.0950820797487141 + 0.0im,0.9715577300089765 + 0.0im,-0.0001385076359988746 - 1.5991882190407991e-18im
-0.10283550597516207 + 0.0im,0.9667415751821004 + 0.0im,-0.00019012878034452285 - 1.1538742896767185e-18im
-0.11054901339170507 + 0.0im,0.9615795986574184 + 0.0im,-0.0002548166046937306 + 1.8296877766371833e-18im
-0.11821986965518293 + 0.0im,0.9560804507199016 + 0.0im,-0.0003345272970117219 - 1.1879532204752124e-18im
-0.1258454135604206 + 0.0im,0.9502532598952825 + 0.0im,-0.0004313237999236108 - 1.7505777778316597e-18im
-0.13342305874159996 + 0.0im,0.9441076015976705 + 0.0im,-0.0005473682076521658 - 5.0402883433117195e-18im
-0.14095029711848153 + 0.0im,0.9376534657274421 + 0.0im,-0.0006849138238150254 - 9.174914874224819e-19im
-0.148424702079813 + 0.0im,0.9309012234044903 + 0.0im,-0.0008462969120134889 + 3.241682654625903e-18im
-0.15584393139775574 + 0.0im,0.9238615930230771 + 0.0im,-0.0010339281716498228 - 3.329021890875294e-18im
-0.16320572986864404 + 0.0im,0.9165456058142427 + 0.0im,-0.0012502839718961933 - 3.986438267321621e-18im
-0.17050793167687814 + 0.0im,0.908964571099919 + 0.0im,-0.001497897376887214 - 2.2850242251018614e-18im
-0.17774846248020953 + 0.0im,0.9011300414197506 + 0.0im,-0.0017793489953089048 - 5.4094069841392454e-18im
-0.1849253412161076 + 0.0im,0.8930537777070671 + 0.0im,-0.002097257687349696 - 5.756508519743211e-18im
-0.19203668163029539 + 0.0im,0.8847477146848328 + 0.0im,-0.0024542711618090185 + 4.539992401338997e-18im
-0.19908069352986732 + 0.0im,0.8762239266453555 + 0.0im,-0.0028530564956538718 + 4.5326576351516405e-18im
-0.2060556837646917 + 0.0im,0.8674945937697032 + 0.0im,-0.003296290607822161 - 1.770188129296858e-18im
-0.2129600569420164 + 0.0im,0.8585719691339093 + 0.0im,-0.003786650718441198 + 3.228244386941293e-18im
-0.21979231588031245 + 0.0im,0.849468346539209 + 0.0im,-0.0043268048238540024 - 3.275021955154329e-18im
-0.2265510618094836 + 0.0im,0.8401960292933877 + 0.0im,-0.004919402217102964 + 5.303680074344667e-18im
-0.23323499432550787 + 0.0im,0.8307673000591136 + 0.0im,-0.005567064082589723 + 1.8264116391630867e-18im
-0.23984291110847913 + 0.0im,0.8211943918738636 + 0.0im,-0.0062723741927839805 - 6.212157547235613e-19im
-0.246373707413803 + 0.0im,0.8114894604342017 + 0.0im,-0.007037869733882651 + 7.237700265406049e-19im
-0.252826375346984 + 0.0im,0.8016645577252421 + 0.0im,-0.00786603228636229 - 7.960390935511363e-18im
-0.25920000293307016 + 0.0im,0.7917316070640927 + 0.0im,-0.008759278985443986 - 1.3964567606853552e-17im
-0.2654937729922745 + 0.0im,0.7817023796139545 + 0.0im,-0.009719953885505783 + 2.040319165000324e-18im
-0.2717069618337518 + 0.0im,0.771588472413757 + 0.0im,-0.010750319551527665 + 2.547409901315089e-18im
-0.2778389377797744 + 0.0im,0.7614012879564375 + 0.0im,-0.011852548899785986 + 6.4382532879586085e-18im
-0.2838891595328186 + 0.0im,0.7511520153377571 + 0.0im,-0.013028717309074456 + 6.279632218020305e-19im
-0.2898571743981459 + 0.0im,0.7408516129864101 + 0.0im,-0.014280795022859283 - 8.519592965356857e-18im
-0.29574261637455523 + 5.551115123125783e-17im,0.7305107929759336 + 0.0im,-0.0156106398619823 + 1.1693748025037683e-17im
-0.3015452041259371 + 0.0im,0.7201400069089274 + 0.0im,-0.0170199902666624 - 7.636812129519443e-20im
-0.3072647388461238 + 0.0im,0.709749433354837 + 0.0im,-0.018510458685822462 - 1.4380480244319338e-18im
-0.3129011020293691 + 0.0im,0.6993489668139011 + 0.0im,-0.020083525330933882 + 1.0986992486285906e-17im
-0.3184542531585301 + 0.0im,0.6889482081720245 + 0.0im,-0.021740532310913385 + 1.3427142839062376e-17im
-0.3239242273227117 + 0.0im,0.6785564566040501 + 0.0im,-0.02348267816378924 + 9.733378565816799e-18im
-0.32931113277577595 + 0.0im,0.66818270287657 + 0.0im,-0.025311012800156907 - 1.2170200992902078e-18im
-0.3346151484466892 + 0.0im,0.6578356239956619 + 0.0im,-0.027226432872702988 - 9.280240032168325e-18im
-0.33983652141223497 + 5.551115123125783e-17im,0.6475235791400658 + 0.0im,-0.029229677585285663 + 1.0804278612892854e-18im
-0.34497556434213283 + 0.0im,0.6372546068162065 + 0.0im,-0.03132132495430756 - 1.1275115895176298e-17im
-0.3500326529260619 + 0.0im,0.6270364231679985 + 0.0im,-0.033501788534230026 + 1.2214581501659734e-17im
-0.3550082232915497 + 0.0im,0.6168764213717924 + 0.0im,-0.03577131461824229 - 3.93565722345255e-18im
-0.3599027694211292 + 0.0im,0.6067816720448415 + 0.0im,-0.038129979924128754 + 8.581089130633468e-18im
-0.3647168405765857 + 5.551115123125783e-17im,0.596758924594389 + 0.0im,-0.04057768977435011 - 7.373219682746002e-18im
-0.3694510387375043 + 0.0im,0.586814609433864 + 0.0im,-0.043114176778288105 - 6.844194985399381e-18im
-0.37410601606078436 + 0.0im,0.5769548409926644 + 0.0im,-0.04573900002338144 - 8.100011087175531e-18im
-0.37868247236716623 + 0.0im,0.5671854214465536 + 0.0im,-0.04845154478064817 + 9.326957694030872e-18im
-0.3831811526602406 + 0.0im,0.5575118450967576 + 0.0im,-0.05125102272865012 + 1.2320356599263648e-17im
-0.387602844682857 + 0.0im,0.5479393033273705 + 0.0im,-0.054136472698529 + 2.2008052189042055e-18im
-0.39194837651529085 + 0.0im,0.5384726900727368 + 0.0im,-0.05710676194113251 + 1.037931148143109e-17im
-0.39621861421895416 + 0.0im,0.5291166077286906 + 0.0im,-0.06016058791554563 - 7.579390127190324e-18im
-0.40041445952897736 + 0.0im,0.5198753734443298 + 0.0im,-0.0632964805965886 - 1.5564846735224263e-18im
-0.4045368475984459 + 0.0im,0.5107530257338996 + 0.0im,-0.06651280529691705 + 5.766745454992857e-20im
-0.40858674479661494 + 5.551115123125783e-17im,0.5017533313515525 + 0.0im,-0.06980776599740479 - 1.472218671471672e-17im
-0.41256514656301113 + 0.0im,0.49287979237514545 + 0.0im,-0.07317940917743193 - 3.667774437557809e-18im
-0.41647307531886874 + 0.0im,0.48413565344875953 + 0.0im,-0.07662562813457219 + 4.951306370762594e-18im
-0.42031157843698097 + 0.0im,0.47552390913718845 + 0.0im,-0.08014416778097622 - 1.393200003045614e-17im
-0.4240817262707047 + 0.0im,0.4670473113493874 + 0.0im,-0.08373262990156727 - 6.875370128122258e-18im
-0.4277846102424937 + 0.0im,0.45870837679149884 + 0.0im,-0.08738847885685974 - 2.8039852726902795e-19im
-0.4314213409920553 + 0.0im,0.4505093944137867 + 0.0im,-0.09110904771103578 - 4.09486428444373e-18im
-0.43499304658395277 + 0.0im,0.44245243281939894 + 0.0im,-0.09489154476359146 - 1.4554300668397472e-17im
-0.4385008707742388 + 0.0im,0.4345393476064314 + 0.0im,-0.09873306046075447 - 4.710218549773415e-18im
-0.44194597133546804 + 0.0im,0.4267717886181972 + 0.0im,-0.10263057466065906 + 1.8845389017121117e-18im
-0.44532951843927493 + 0.0im,0.4191512070798973 + 0.0im,-0.10658096422424324 - 6.588477717901525e-18im
-0.44865269309553035 + 0.0im,0.411678862603033 + 0.0im,-0.1105810109018514 + 2.9239239169199495e-18im
-0.45191668564695975 + 0.0im,0.40435583004189446 + 0.0im,-0.11462740948370453 + 1.0722222192120944e-17im
-0.45512269431795815 + 0.0im,0.39718300618920366 + 0.0im,-0.11871677618068843 + 1.119725406745225e-17im
-0.45827192381632176 + 0.0im,0.39016111630066314 + 0.0im,-0.12284565720040469 + 6.287059691288805e-18im
-0.46136558398644406 + 0.0im,0.3832907204404574 + 0.0im,-0.12701053748207847 - 1.3769784256500091e-17im
-0.4644048885125487 + 2.7755575615628914e-17im,0.3765722196420116 + 0.0im,-0.1312078495527808 + 6.43866785566565e-18im
-0.4673910536704626 + 0.0im,0.37000586188023593 + 0.0im,-0.1354339824665114 - 1.067419725752578e-17im
-0.4703252971264005 + 0.0im,0.363591747853258 + 0.0im,-0.13968529078703273 - 1.4676555257688262e-17im
-0.4732088367812304 + 5.551115123125783e-17im,0.3573298365731597 + 0.0im,-0.14395810357489974 + 3.4106773767350263e-18im
-0.47604288965873165 + 0.0im,0.35121995076663476 + 0.0im,-0.1482487333389657 - 1.0673150745289387e-17im
-0.47882867083627884 + 0.0im,0.3452617820875391 + 0.0im,-0.15255348491275933 + 3.978723472724254e-18im
-0.48156739241649504 + 0.0im,0.33945489614430624 + 0.0im,-0.1568686642164982 - 2.1135538533522023e-18im
-0.4842602625383957 + 0.0im,0.33379873734594534 + 0.0im,-0.1611905868661208 - 8.734841294633182e-19im
-0.48690848442658446 + 0.0im,0.3282926335709194 + 0.0im,-0.16551558659169063 - 1.3220077265407364e-17im
-0.48951325547711433 + 0.0im,0.32293580066365923 + 0.0im,-0.1698400234286933 + 8.676066984509137e-18im
-0.4920757663786524 - 2.7755575615628914e-17im,0.3177273467637458 + 0.0im,-0.17416029164718766 + 5.368329460610646e-18im
-0.4945972002676099 + 0.0im,0.31266627647292267 + 0.0im,-0.1784728273854933 - 2.956996572955034e-19im
-0.49707873191599017 + 0.0im,0.3077514948652049 + 0.0im,-0.18277411595706644 - 4.335345022600759e-18im
-0.4995215269507036 + 0.0im,0.3029818113452342 + 0.0im,-0.18706069880135623 - 6.33503676543528e-18im
-0.5019267411031676 + 0.0im,0.2983559433599279 + 0.0im,-0.1913291800518393 - 3.436739354502617e-18im
-0.504295519488006 - 2.7755575615628914e-17im,0.2938725199682146 + 0.0im,-0.19557623269701102 - 4.426106885302729e-18im
-0.5066289959097865 + 0.0im,0.28953008527343527 + 0.0im,-0.19979860431284957 + 4.245573457604266e-18im
-0.5089282921966503 + 0.0im,0.28532710172263753 + 0.0im,-0.20399312234814737 + 8.232430667325905e-18im
-0.5111945175598448 + 0.0im,0.28126195327668574 + 0.0im,-0.20815669894715594 - 1.1893843470953998e-17im
-0.5134287679780859 + 0.0im,0.27733294845472733 + 0.0im,-0.21228633529706148 - 6.416876582101139e-19im
-0.5156321256058165 - 2.7755575615628914e-17im,0.27353832325628447 + 0.0im,-0.21637912549100846 - 1.3381994249271902e-17im
-0.5178056582043216 + 0.0im,0.2698762439638049 + 0.0im,-0.22043225990059123 + 5.734762269685828e-18im
-0.5199504185948369 - 2.7755575615628914e-17im,0.26634480982830444 + 0.0im,-0.2244430280550102 - 1.254524601633373e-17im
-0.5220674441326411 + 0.0im,0.2629420556403726 + 0.0im,-0.2284088210272462 - 3.2380093231632507e-18im
-0.524157756201307 + 0.0im,0.2596659541886249 + 0.0im,-0.23232713333089644 - 6.016803568830141e-20im
