0.0 + 0.0im,0.0 + 0.0im,1.0 + 0.0im
7.516093277807035e-28 + 0.0im,-2.0497195083289282e-25 + 0.0im,0.9997047615098928 - 4.829938168685503e-23im
4.9744437654273154e-26 + 0.0im,4.03184895237388e-25 + 0.0im,0.9988197528857582 + 4.054735960270787e-21im
6.010630963356627e-25 + 0.0im,3.377096689576621e-24 + 0.0im,0.9973470909113143 + 7.54795621680148e-21im
3.094673362785184e-24 + 0.0im,1.5593629569547406e-23 + 0.0im,0.9952902910753847 - 4.966530783838662e-21im
6.13547570910965e-24 + 0.0im,2.679826853487078e-23 + 0.0im,0.9926542489577524 + 1.515560626826758e-20im
1.8548429192544186e-23 + 0.0im,2.8170857909119983e-24 + 0.0im,0.9894452143918331 - 3.906641701130442e-21im
-1.1185991460350372e-22 + 0.0im,9.95779666065139e-24 + 0.0im,0.9856707586233724 + 4.5518441103345035e-20im
-2.6197925921968907e-22 + 0.0im,-7.239468863348892e-22 + 0.0im,0.9813397347425203 - 1.47473519797508e-19im
-4.54027170864733e-22 + 0.0im,-2.113733240879371e-21 + 0.0im,0.9764622317214035 + 8.186438766220595e-20im
3.4383754491622914e-22 + 0.0im,-1.1313137920765514e-21 + 0.0im,0.9710495224401702 - 1.4295926765223415e-19im
1.4409212945988284e-21 + 0.0im,7.254615537404165e-22 + 0.0im,0.9651140061308757 + 1.6930726161180763e-19im
1.093431182748837e-21 + 0.0im,1.0981615844933712e-20 + 0.0im,0.958669145709968 + 1.6070927493593544e-20im
-1.0604488568768342e-22 + 0.0im,9.6959067258656e-21 + 0.0im,0.951729400506034 + 5.397895077568825e-21im
-5.9484040531968816e-21 + 0.0im,1.8290064988681354e-20 + 0.0im,0.9443101549197992 - 3.318525514545105e-19im
2.3155264137128315e-21 + 0.0im,-6.2367285826915214e-21 + 0.0im,0.9364276435775805 - 5.939318622672273e-19im
1.0772295588234351e-20 + 0.0im,-1.5198707065273205e-21 + 0.0im,0.9280988735574779 - 1.4616583024848528e-19im
1.861145446737248e-21 + 0.0im,1.1133937040491465e-20 + 0.0im,0.9193415442795201 - 3.410217201685848e-19im
-7.210711310379063e-21 + 0.0im,-1.1414743337687958e-20 + 0.0im,0.9101739656566219 - 1.45017729422234e-18im
1.2925604242614305e-20 + 0.0im,-6.180502555872255e-20 + 0.0im,0.9006149751028424 + 6.626127460151797e-19im
2.1173473580612353e-21 + 0.0im,-8.468595227970686e-20 + 0.0im,0.8906838539890227 + 6.826186100748781e-21im
-6.155620414895879e-21 + 0.0im,3.287703377922082e-20 + 0.0im,0.8804002441238714 + 1.810373183250645e-19im
-1.0307940022004681e-20 + 0.0im,1.5215855064381385e-19 + 0.0im,0.8697840648213093 + 2.8265146505193043e-19im
-3.0423056340015966e-20 + 0.0im,4.761462426496363e-19 + 0.0im,0.8588554310923674 + 2.492515936229387e-19im
-2.845620827218094e-20 + 0.0im,5.000986795953916e-19 + 0.0im,0.8476345734732988 + 1.1891226554556127e-19im
-4.7193925968968863e-20 + 0.0im,1.0843689771520994e-18 + 0.0im,0.836141759970455 - 1.8813193732833907e-19im
-7.949127259144114e-20 + 0.0im,1.252504199109944e-18 + 0.0im,0.8243972205682056 + 2.066949720910826e-19im
-5.675536448310793e-20 + 0.0im,1.2817917468013631e-18 + 0.0im,0.8124210747086651 + 6.620635320072738e-20im
-4.107030471654867e-22 + 0.0im,7.364620025685523e-19 + 0.0im,0.800233262112139 - 1.43029334091843e-21im
1.8908944581272848e-19 + 0.0im,-1.8356221164213286e-18 + 0.0im,0.7878534772654833 - 2.046688214853669e-19im
1.8518352669039688e-19 + 0.0im,-1.8313145375658096e-18 + 0.0im,0.7753011078624604 + 4.969147629057961e-19im
